username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Nino,1142352663373389824,"Brooklyn, NY",2023-01-23 05:52:27,"To all that celebrate, Happy Chinese New Year!
May luck always be at your door to shower you with blessings. https://t.co/KoVsB0XYOG",0,Twitter for iPhone,
Janie Lee,93104393,New York🍎,2023-01-23 05:49:50,Happy Chinese New Year🍊 https://t.co/YyqqqeqA3j,0,Twitter Web App,
Carm Derrico,322986132,New York,2023-01-23 05:47:44,Live Report from China: Chinese New Year Celebration in Shanghai https://t.co/OEQ6k7kwr1 via @YouTube,0,Twitter Web App,
Ced,164403145,"New York, NY",2023-01-23 05:45:31,"My Chinese New Year Forecast: ""The ghost of a relationship past will come to haunt you this year. It will either to… https://t.co/qlXQAUcDMl",0,Twitter Web App,
Victor,255720621,"Philadelphia, PA",2023-01-23 05:25:05,Notice how fast the Chinese new year shooting was dropped when it couldn’t be swayed as racially motivated?,0,Twitter for iPhone,
dayB,526761281,"Manhattan, NY",2023-01-23 05:18:28,Happy Chinese New Year #chinesenewyear #yearoftherabbit https://t.co/wb3U4rdSn6,0,Twitter for iPhone,
Okayest Jersey Drag Queen,1109848424843800578,"Asbury Park, NJ",2023-01-23 05:12:14,I better not see anyone who isnt AAPI putting on Lunar New Year themed shows called “Chinese New Year” and not having any AAPI performers.,0,Twitter for iPhone,
ForbesLife,40302362,New York,2023-01-23 05:00:01,The best timepieces released for Lunar New Year: https://t.co/o12LZEXmDB https://t.co/yk5VFgYXIC,0,Sprinklr,
MightyelfFC,1471527914852257799,"New York, NY",2023-01-23 04:48:36,"Happy Chinese New Year
#YearOfTheRabbit https://t.co/vcv4SVqvlP",0,Twitter for Android,
Nat Moss,16779600,"Brooklyn, NY",2023-01-23 04:44:36,"Book of the Dead: The #Species Declared #Extinct in 2022 

@Revelator_News highlights species lost last year, inclu… https://t.co/Cyj7flfrnc",3,Twitter for iPhone,
Donna M Coles,1051313227,"Brooklyn, NY",2023-01-23 04:43:38,"https://t.co/hdB4B4yGDF
The rabbit is “historically known as the gentlest &amp; most tender of the 12 animals in the Ch… https://t.co/JWQeS9eo3q",1,Twitter for Android,
☥ Yo The Spiritualist ☥,505505038,Georgia,2023-01-23 04:40:18,"I posted the topic which was: Aquarius New Moon/Chinese New Year. 

Ppl started asking about Capricorn &amp; somebody a… https://t.co/kltdkSnglX",0,Twitter for iPhone,
SAFAUS_Official,2923006011,"New York, NY",2023-01-23 04:26:41,SAFA is honored to have a pop-up showcasing Chinese cultural products and food as well as festival displays on the… https://t.co/n8ZrtWPD7E,0,Twitter Web App,
Nikkei Asia,436429668,"Tokyo, New York",2023-01-23 04:21:52,The Thai baht is leading Asian currencies as it bounces back on the return of Chinese tourism during a critical pea… https://t.co/Nt6AsRe5Hd,8,SocialFlow,
Robin ,2266290076,"New Jersey, USA",2023-01-23 04:19:18,@alexs_journey Happy Chinese New Year you cuties. 😊,0,Twitter for iPad,
David Lei,15749528,New York,2023-01-23 04:16:48,Happy lunar new year! We Chinese wish each other happiness and prosperity for the new year. Today was certainly pro… https://t.co/bXQzDiAvyA,14,Twitter for iPhone,
Nicole Colbert,33788159,NYC,2023-01-23 04:14:17,"Happy Chinese New Year of the Rabbit! 
https://t.co/mnq1SBOUDQ https://t.co/4kI1r3rpKL",0,Twitter for Android,
Ian Heinisch,2428287120,"Florida, USA",2023-01-23 04:13:39,Chinese New Year! 👀,7,Twitter Web App,
SAFAUS_Official,2923006011,"New York, NY",2023-01-23 04:07:33,"Happy Lunar Year 2023, the year of Rabbit. The Consul General Huang Ping of the Chinese Consulate in NY and Chairma… https://t.co/swWn4kIslW",0,Twitter Web App,
Maria Wen Adcock,67611076,"Long Island, NY",2023-01-23 04:07:19,"So incredibly cute, thank you @ProfessorAixa for creating this timely image for Chinese New Year and my book ""It's… https://t.co/4S4toYiI4N",0,Hootsuite Inc.,
Liqian Ren,1021449396414820353,Malvern PA,2023-01-23 04:04:05,"Lol:
7 Qs typical youth got during Chinese New Year

1. Salary
2. Added weight?
3. Red packet to parents?
4. Girl/b… https://t.co/iP0rlN8Tsm",1,Twitter Web App,
